1,200,1236,1,20231230
2,200,1246,2,20231230
3,200,1240,2,20231230
4,206,1238,5,20231230
5,206,1240,1,20231230
6,206,1244,10,20231230
7,206,1246,2,20231230
8,201,1235,3,20231231
9,202,1239,3,20231231
10,202,1234,9,20231231
11,200,1239,5,20240101
12,207,1236,2,20240102
13,208,1237,3,20240102
14,204,1234,7,20240102
15,204,1245,2,20240102
16,204,1236,1,20240102
17,204,1243,5,20240102
18,203,1234,6,20240103
19,202,1239,10,20240103
20,203,1238,4,20240103
21,205,1239,5,20240104
22,205,1245,1,20240104
23,205,1240,1,20240104
